Year,BirthRate,DeathRate,Population
1925,28.4,10.8,1593000
1926,27.7,10.7,1623000
1927,27.0,10.6,1671000
1928,26.3,10.6,1696000
1929,25.2,10.5,1717000
1930,24.1,10.5,1733000
1931,23.7,10.4,1740000
1932,23.3,10.3,1747000
1933,22.9,10.2,1752000
1934,22.7,10.0,1771000
1935,22.5,9.9,1794000
1936,22.4,9.8,1808000
1937,22.3,9.7,1813000
1938,22.2,9.5,1828000
1939,22.1,9.3,1868000
1940,22.0,9.2,1907000
1941,22.1,9.3,1885000
1942,22.2,9.4,1831000
1943,22.3,9.5,1741000
1944,22.4,9.6,1706000
1945,22.5,9.6,1708000
1946,23.1,9.4,1826000
1947,23.8,9.2,1883000
1948,24.4,9.0,1899000
1949,24.9,8.8,1930000
1950,25.4,8.7,2006000
1951,25.1,8.7,1984000
1952,24.8,8.7,1957000
1953,24.5,8.8,1929000
1954,24.0,8.8,1905000
1955,23.5,8.9,1880000
1956,23.0,9.0,1857000
1957,22.6,9.1,1843000
1958,22.1,9.2,1845000
1959,21.7,9.4,1855000
1960,21.3,9.7,1853000
1961,20.6,9.8,1828000
1962,19.9,9.9,1809000
1963,19.2,10.0,1796000
1964,18.5,10.3,1797000
1965,17.9,10.7,1786000
1966,17.6,10.8,1775000
1967,17.3,10.9,1769000
1968,17.0,11.0,1763000
1969,16.7,11.2,1746000
1970,17.3,11.4,1744237
1971,17.0,11.3,1770657
1972,16.6,11.2,1797648
1973,16.1,11.1,1806360
1974,15.8,10.9,1815447
1975,15.5,10.8,1842250
1976,15.3,10.7,1879503
1977,15.1,10.5,1908088
1978,14.9,10.3,1923395
1979,14.9,10.1,1942146
1980,15.1,9.8,1951349
1981,14.6,9.8,1954124
1982,14.2,9.8,1949604
1983,13.7,9.8,1945061
1984,13.1,9.9,1927697
1985,12.5,10.0,1906831
1986,12.5,10.2,1882350
1987,12.5,10.3,1857585
1988,12.5,10.5,1830215
1989,12.6,10.6,1806568
1990,12.6,10.8,1792481
1991,12.4,10.8,1798212
1992,12.2,10.8,1805462
1993,12.0,10.9,1816179
1994,11.8,10.9,1818490
1995,11.6,11.0,1820560
1996,11.5,11.1,1818983
1997,11.5,11.2,1815588
1998,11.5,11.4,1811688
1999,11.5,11.5,1806928
2000,11.5,11.7,1807021
2001,11.4,11.7,1801481
2002,11.3,11.7,1805414
2003,11.3,11.6,1812295
2004,11.4,11.5,1816438
2005,11.5,11.4,1820492
2006,11.4,11.4,1827912
2007,11.3,11.4,1834052
2008,11.2,11.4,1840310
2009,11.1,11.4,1847775
2010,11.0,11.5,1854265
2011,10.9,11.6,1856606
2012,10.9,11.8,1857446
2013,10.8,11.9,1854768
2014,10.8,12.1,1850569
2015,10.7,12.3,1843332
2016,10.4,12.4,1832435
2017,10.3,12.8,1818683
2018,10.1,13.0,1805953
2019,10.1,13.0,1795263
2020,9.7,14.6,1791646
2021,9.6,16.5,1785618
